Date,Buy Signal,Sell Signal,Position Open,Portfolio Value
2018-10-08,False,False,0,100000.0
2018-10-09,False,False,0,100000.0
2018-10-10,False,False,0,100000.0
2018-10-11,False,False,0,100000.0
2018-10-12,False,False,0,100000.0
2018-10-15,False,False,0,100000.0
2018-10-16,False,False,0,100000.0
2018-10-17,False,False,0,100000.0
2018-10-18,False,False,0,100000.0
2018-10-19,False,False,0,100000.0
2018-10-22,False,False,0,100000.0
2018-10-23,False,False,0,100000.0
2018-10-24,False,False,0,100000.0
2018-10-25,False,False,0,100000.0
2018-10-26,False,False,0,100000.0
2018-10-29,False,False,0,100000.0
2018-10-30,False,False,0,100000.0
2018-10-31,False,False,0,100000.0
2018-11-01,False,False,0,100000.0
2018-11-02,True,False,941,100000.0
2018-11-05,False,False,941,100000.0
2018-11-06,False,False,941,100000.0
2018-11-07,False,False,941,100000.0
2018-11-08,False,True,0,105156.75
2018-11-09,False,False,0,105156.75
2018-11-12,False,False,0,105156.75
2018-11-13,False,False,0,105156.75
2018-11-14,False,False,0,105156.75
2018-11-15,False,False,0,105156.75
2018-11-16,False,False,0,105156.75
2018-11-19,False,False,0,105156.75
2018-11-20,True,False,1033,105156.75
2018-11-21,False,False,1033,105156.75
2018-11-23,False,False,1033,105156.75
2018-11-26,False,False,1033,105156.75
2018-11-27,False,False,1033,105156.75
2018-11-28,False,False,1033,105156.75
2018-11-29,False,False,1033,105156.75
2018-11-30,False,True,0,114549.36936950684
2018-12-03,False,False,0,114549.36936950684
2018-12-04,False,False,0,114549.36936950684
2018-12-06,False,False,0,114549.36936950684
2018-12-07,False,False,0,114549.36936950684
2018-12-10,False,False,0,114549.36936950684
2018-12-11,False,False,0,114549.36936950684
2018-12-12,False,False,0,114549.36936950684
2018-12-13,False,False,0,114549.36936950684
2018-12-14,False,False,0,114549.36936950684
2018-12-17,False,False,0,114549.36936950684
2018-12-18,False,False,0,114549.36936950684
2018-12-19,True,False,1104,114549.36936950684
2018-12-20,False,False,1104,114549.36936950684
